1,1,2,2022-10-01 22:29:51,2,2,2
1,1,2,2022-10-01 05:18:15,3,2,2
1,1,0,2022-10-01 04:56:01,1,1,1
1,1,1,2022-10-01 23:14:48,2,1,2
1,1,1,2022-10-01 20:42:36,2,1,2
1,2,0,2022-10-01 20:01:49,2,1,1
1,3,1,2022-10-01 16:00:07,2,1,1
2,1,1,2022-10-01 03:01:02,3,2,2
2,1,1,2022-10-01 07:39:24,3,4,2
2,1,1,2022-10-01 23:34:03,2,3,2
2,1,0,2022-10-01 04:12:00,3,4,2
2,1,2,2022-10-01 23:01:12,3,1,2
2,1,2,2022-10-01 02:33:25,2,4,2
2,1,0,2022-10-01 10:30:13,3,3,2
2,1,2,2022-10-01 13:23:07,3,3,2
2,2,0,2022-10-01 16:38:15,1,1,0
2,2,1,2022-10-01 02:51:37,3,1,2
2,2,2,2022-10-01 00:09:50,1,1,2
2,3,0,2022-10-01 07:56:03,1,1,0
3,1,0,2022-10-01 04:08:54,3,1,2
3,1,0,2022-10-01 12:39:37,2,3,1
3,1,2,2022-10-01 17:44:16,3,4,2
3,1,1,2022-10-01 00:44:57,2,3,2
3,1,2,2022-10-01 12:56:28,1,4,2
3,3,2,2022-10-01 03:19:16,1,1,1
4,1,2,2022-10-01 01:28:36,3,4,2
4,1,0,2022-10-01 14:56:22,2,4,1
4,2,0,2022-10-01 10:31:01,3,1,2
4,2,1,2022-10-01 06:03:06,2,1,2
4,2,1,2022-10-01 03:37:16,1,1,1
4,3,1,2022-10-01 17:26:59,1,1,1
5,1,0,2022-10-01 18:10:29,2,1,1
5,1,0,2022-10-01 21:11:16,3,2,2
5,1,1,2022-10-01 13:31:37,1,1,2
5,1,1,2022-10-01 19:23:22,1,2,2
5,1,1,2022-10-01 15:38:16,2,2,2
5,1,0,2022-10-01 09:11:49,3,1,2
5,1,1,2022-10-01 18:03:57,1,1,2
5,3,1,2022-10-01 09:42:23,1,1,1
6,1,1,2022-10-01 22:24:56,3,1,2
6,1,2,2022-10-01 16:12:30,1,3,2
6,1,1,2022-10-01 19:48:04,2,4,2
6,1,2,2022-10-01 06:15:24,3,1,2
6,1,0,2022-10-01 23:06:34,1,3,1
6,1,2,2022-10-01 18:45:17,3,4,2
6,1,2,2022-10-01 02:45:22,3,3,2
6,3,2,2022-10-01 09:19:15,3,1,2
7,1,0,2022-10-01 11:31:05,2,2,1
7,1,2,2022-10-01 16:22:22,3,1,2
7,1,2,2022-10-01 18:58:55,3,5,2
7,1,1,2022-10-01 18:16:47,3,1,2
7,1,0,2022-10-01 13:45:44,1,5,1
7,1,0,2022-10-01 23:31:25,2,2,1
7,1,1,2022-10-01 07:01:14,3,2,2
7,1,2,2022-10-01 05:47:44,3,4,2
7,2,2,2022-10-01 20:41:32,2,1,2
7,3,1,2022-10-01 23:01:59,2,1,1
8,1,2,2022-10-01 06:04:29,1,3,2
8,3,1,2022-10-01 13:59:20,3,1,2
9,1,1,2022-10-01 12:21:27,2,4,2
9,1,2,2022-10-01 10:56:26,3,4,2
9,1,1,2022-10-01 10:25:31,2,1,2
9,1,2,2022-10-01 08:37:25,1,2,2
9,1,2,2022-10-01 11:53:28,3,1,2
9,2,1,2022-10-01 16:41:39,3,1,2
9,2,1,2022-10-01 06:21:42,1,1,1
9,2,1,2022-10-01 15:53:45,3,1,2
9,3,2,2022-10-01 12:42:32,1,1,1
10,1,2,2022-10-01 01:10:20,3,1,2
10,1,1,2022-10-01 02:14:43,3,1,2
10,1,0,2022-10-01 22:32:51,2,1,1
10,1,1,2022-10-01 12:50:13,1,2,2
10,1,2,2022-10-01 07:31:28,1,1,2
10,1,2,2022-10-01 19:35:18,3,1,2
10,1,2,2022-10-01 14:20:16,1,1,2
10,2,2,2022-10-01 06:06:38,3,1,2
10,2,1,2022-10-01 12:17:46,1,1,1
10,2,1,2022-10-01 15:39:28,2,1,2
10,3,0,2022-10-01 22:18:11,2,1,1
11,1,2,2022-10-01 03:40:13,2,3,2
11,1,0,2022-10-01 20:55:15,3,1,2
11,3,0,2022-10-01 09:25:57,2,1,1
12,1,2,2022-10-01 17:40:25,2,2,2
12,1,2,2022-10-01 13:03:59,1,3,2
12,1,1,2022-10-01 19:47:53,1,1,2
12,1,2,2022-10-01 00:10:32,1,3,2
12,1,0,2022-10-01 05:37:37,2,1,1
12,2,1,2022-10-01 15:51:01,2,1,2
12,2,0,2022-10-01 11:07:11,1,1,0
12,3,1,2022-10-01 06:14:07,1,1,1
13,1,2,2022-10-01 09:37:20,1,3,2
13,1,2,2022-10-01 18:00:49,1,1,2
13,1,2,2022-10-01 15:17:34,3,3,2
13,1,0,2022-10-01 14:50:54,3,2,2
13,1,1,2022-10-01 04:43:14,2,3,2
13,1,2,2022-10-01 04:14:22,3,2,2
